Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
0.000000,4820875.800000,904.800000,226.200000,187.200000,39.000000,0.000000,0.000000,0.000000,39.000000,0.000000
0.100000,4820869.344754,889.057648,226.010068,205.699044,40.550683,1.924801,0.389624,0.023378,40.944243,0.000000
0.200000,4820862.202836,874.159290,225.473251,223.980470,42.284564,4.051155,0.799436,0.048996,43.092076,0.000000
0.300000,4820854.573822,860.109922,224.643162,241.831871,44.181000,6.356405,1.227215,0.076602,45.420612,0.000000
0.400000,4820846.465598,846.880787,223.567585,259.235118,46.234000,8.836201,1.674541,0.106169,47.925456,0.000000
0.500000,4820837.886420,834.443478,222.289074,276.176912,48.437478,11.486037,2.142935,0.137666,50.602058,0.000000
0.600000,4820828.844819,822.770013,220.845461,292.648197,50.785296,14.301297,2.633855,0.171062,53.445755,0.000000
0.700000,4820819.349524,811.832910,219.270316,308.643626,53.271307,17.277294,3.148700,0.206323,56.451812,0.000000
0.800000,4820809.409388,801.605240,217.593365,324.161090,55.889388,20.409303,3.688810,0.243415,59.615458,0.000000
0.900000,4820799.033331,792.060677,215.840870,339.201293,58.633470,23.692596,4.255460,0.282304,62.931915,0.000000
1.000000,4820788.230278,783.173535,214.035973,353.767369,61.497564,27.122459,4.849871,0.322953,66.396423,0.000000
1.100000,4820777.009120,774.918798,212.199010,367.864541,64.475781,30.694223,5.473200,0.365328,70.004266,0.000000
1.200000,4820765.378669,767.272148,210.347794,381.499814,67.562354,34.403279,6.126549,0.409392,73.750787,0.000000
1.300000,4820753.347626,760.209976,208.497872,394.681708,70.751649,38.245095,6.810963,0.455112,77.631410,0.000000
1.400000,4820740.924547,753.709396,206.662756,407.420008,74.038180,42.215230,7.527432,0.502451,81.641646,0.000000
1.500000,4820728.117822,747.748256,204.854137,419.725555,77.416618,46.309344,8.276892,0.551376,85.777115,0.000000
1.600000,4820714.935653,742.305135,203.082073,431.610050,80.881799,50.523209,9.060228,0.601853,90.033544,0.000000
1.700000,4820701.386035,737.359344,201.355166,443.085885,84.428731,54.852718,9.878274,0.653848,94.406785,0.000000
1.800000,4820687.476742,732.890924,199.680712,454.165992,88.052597,59.293887,10.731816,0.707330,98.892815,0.000000
1.900000,4820673.215315,728.880640,198.064848,464.863714,91.748760,63.842864,11.621592,0.762267,103.487742,0.000000
2.000000,4820658.609058,725.309965,196.512677,475.192683,95.512762,68.495931,12.548296,0.818629,108.187809,0.000000
2.100000,4820643.665022,722.161080,195.028384,485.166720,99.340328,73.249503,13.512579,0.876385,112.989397,0.000000
2.200000,4820628.390009,719.416851,193.615338,494.799749,103.227361,78.100136,14.515049,0.935507,117.889026,0.000000
2.300000,4820612.790565,717.060822,192.276191,504.105713,107.169945,83.044521,15.556276,0.995968,122.883355,0.000000
2.400000,4820596.872977,715.077197,191.012955,513.098509,111.164341,88.079490,16.636792,1.057740,127.969181,0.000000
2.500000,4820580.643275,713.450824,189.827084,521.791932,115.206987,93.202008,17.757091,1.120799,133.143443,0.000000
2.600000,4820564.107234,712.167178,188.719541,530.199622,119.294490,98.409180,18.917636,1.185119,138.403213,0.000000
2.700000,4820547.270373,711.212347,187.690857,538.335022,123.423627,103.698243,20.118853,1.250678,143.745700,0.000000
2.800000,4820530.137957,710.573009,186.741191,546.211344,127.591340,109.066566,21.361140,1.317452,149.168249,0.000000
2.900000,4820512.715006,710.236418,185.870375,553.841537,131.794731,114.511648,22.644865,1.385419,154.668331,0.000000
3.000000,4820495.006292,710.190385,185.077961,561.238262,136.031058,120.031114,23.970367,1.454560,160.243550,0.000000
3.100000,4820477.016348,710.423256,184.363259,568.413874,140.297733,125.622715,25.337959,1.524855,165.891631,0.000000
3.200000,4820458.749472,710.923902,183.725374,575.380405,144.592312,131.284319,26.747930,1.596285,171.610423,0.000000
3.300000,4820440.209730,711.681693,183.163239,582.149548,148.912496,137.013915,28.200545,1.668833,177.397894,0.000000
3.400000,4820421.400966,712.686485,182.675640,588.732656,153.256121,142.809605,29.696046,1.742481,183.252127,0.000000
3.500000,4820402.326803,713.928599,182.261241,595.140727,157.621157,148.669601,31.234656,1.817215,189.171315,0.000000
3.600000,4820382.990652,715.398807,181.918612,601.384407,162.005704,154.592223,32.816576,1.893018,195.153761,0.000000
3.700000,4820363.395717,717.088313,181.646242,607.473983,166.407981,160.575894,34.441992,1.969878,201.197872,0.000000
3.800000,4820343.545001,718.988734,181.442560,613.419388,170.826329,166.619136,36.111071,2.047780,207.302158,0.000000
3.900000,4820323.441311,721.092092,181.305951,619.230199,175.259200,172.720571,37.823963,2.126712,213.465224,0.000000
4.000000,4820303.087267,723.390786,181.234767,624.915641,179.705157,178.878912,39.580806,2.206664,219.685769,0.000000
4.100000,4820282.485305,725.877588,181.227342,630.484593,184.162865,185.092960,41.381723,2.287623,225.962585,0.000000
4.200000,4820261.637687,728.545621,181.281998,635.945594,188.631091,191.361604,43.226824,2.369580,232.294550,0.000000
4.300000,4820240.546499,731.388347,181.397061,641.306845,193.108697,197.683818,45.116207,2.452526,238.680624,0.000000
4.400000,4820219.213668,734.399550,181.570862,646.576222,197.594637,204.058651,47.049960,2.536451,245.119849,0.000000
4.500000,4820197.640959,737.573328,181.801747,651.761277,202.087950,210.485231,49.028161,2.621347,251.611344,0.000000
4.600000,4820175.829982,740.904075,182.088084,656.869253,206.587760,216.962760,51.050878,2.707208,258.154303,0.000000
4.700000,4820153.782203,744.386468,182.428265,661.907087,211.093270,223.490509,53.118171,2.794027,264.747988,0.000000
4.800000,4820131.498942,748.015459,182.820711,666.881423,215.603758,230.067815,55.230095,2.881797,271.391732,0.000000
4.900000,4820108.981383,751.786258,183.263879,671.798616,220.118575,236.694083,57.386693,2.970513,278.084932,0.000000
5.000000,4820086.230579,755.694325,183.756260,676.664745,224.637139,243.368775,59.588008,3.060170,284.827045,0.000000
5.100000,4820063.247452,759.735359,184.296383,681.485623,229.158933,250.091416,61.834072,3.150763,291.617592,0.000000
5.200000,4820040.032804,763.905284,184.882818,686.266802,233.683503,256.861584,64.124916,3.242288,298.456145,0.000000
5.300000,4820016.587320,768.200242,185.514179,691.013586,238.210453,263.678913,66.460565,3.334742,305.342337,0.000000
5.400000,4819992.911570,772.616584,186.189118,695.731036,242.739441,270.543088,68.841041,3.428123,312.275846,0.000000
5.500000,4819969.006014,777.150855,186.906335,700.423985,247.270180,277.453841,71.266363,3.522426,319.256405,0.000000
5.600000,4819944.871009,781.799794,187.664572,705.097042,251.802431,284.410953,73.736547,3.617652,326.283791,0.000000
5.700000,4819920.506810,786.560316,188.462615,709.754603,256.336003,291.414250,76.251607,3.713797,333.357828,0.000000
5.800000,4819895.913575,791.429510,189.299296,714.400858,260.870749,298.463597,78.811555,3.810860,340.478381,0.000000
5.900000,4819871.091369,796.404630,190.173489,719.039800,265.406566,305.558903,81.416402,3.908841,347.645356,0.000000
6.000000,4819846.040165,801.483084,191.084112,723.675236,269.943389,312.700114,84.066159,4.007740,354.858701,0.000000
6.100000,4819841.965217,785.706556,191.788288,728.303178,274.481173,319.887196,86.760835,4.107556,362.118380,4.000000
6.200000,4819838.741136,769.489563,192.034749,732.886244,279.019669,327.119912,89.500440,4.208286,369.424154,4.000000
6.300000,4819835.488777,753.700947,191.876903,737.382649,283.558214,334.397608,92.284976,4.309925,376.775362,4.000000
6.400000,4819832.208645,738.329634,191.363306,741.756506,288.095763,341.719245,95.114440,4.412461,384.170954,4.000000
6.500000,4819828.901330,723.364734,190.537631,745.977203,292.630950,349.083455,97.988815,4.515882,391.609551,4.000000
6.600000,4819825.567496,708.795556,189.439134,750.018837,297.162144,356.488593,100.908071,4.620168,399.089488,4.000000
6.700000,4819822.207870,694.611611,188.103084,753.859707,301.687492,363.932775,103.872158,4.725302,406.608864,4.000000
6.800000,4819818.823229,680.802619,186.561143,757.481850,306.204964,371.413924,106.881009,4.831262,414.165579,4.000000
6.900000,4819815.414395,667.358508,184.841716,760.870636,310.712386,378.929798,109.934536,4.938024,421.757372,4.000000
7.000000,4819811.982225,654.269423,182.970269,764.014387,315.207476,386.478030,113.032628,5.045562,429.381848,4.000000
7.100000,4819808.527602,641.525723,180.969610,766.904044,319.687873,394.056146,116.175152,5.153851,437.036511,4.000000
7.200000,4819805.051434,629.117984,178.860147,769.532869,324.151158,401.661596,119.361949,5.262864,444.718784,4.000000
7.300000,4819801.554643,617.036998,176.660125,771.896167,328.594883,409.291773,122.592839,5.372572,452.426033,4.000000
7.400000,4819798.038164,605.273775,174.385837,773.991046,333.016583,416.944033,125.867616,5.482946,460.155589,4.000000
7.500000,4819794.502939,593.819537,172.051809,775.816197,337.413799,424.615711,129.186050,5.593957,467.904759,4.000000
7.600000,4819790.949910,582.665722,169.670982,777.371695,341.784091,432.304136,132.547886,5.705576,475.670845,4.000000
7.700000,4819787.380023,571.803980,167.254862,778.658823,346.125048,440.006644,135.952847,5.817773,483.451156,4.000000
7.800000,4819783.794218,561.226169,164.813661,779.679913,350.434302,447.720589,139.400630,5.930517,491.243019,4.000000
7.900000,4819780.193431,550.924354,162.356432,780.438205,354.709538,455.443351,142.890909,6.043780,499.043789,4.000000
8.000000,4819776.578587,540.890805,159.891175,780.937717,358.948497,463.172349,146.423337,6.157532,506.850858,4.000000
8.100000,4819772.950604,531.117992,157.424951,781.183134,363.148988,470.905043,149.997545,6.271743,514.661659,4.000000
8.200000,4819769.310386,521.598583,154.963969,781.179705,367.308891,478.638942,153.613139,6.386385,522.473679,4.000000
8.300000,4819765.658825,512.325441,152.513675,780.933149,371.426162,486.371611,157.269710,6.501427,530.284455,4.000000
8.400000,4819761.996797,503.291618,150.078830,780.449579,375.498836,494.100672,160.966825,6.616843,538.091588,4.000000
8.500000,4819758.325163,494.490354,147.663579,779.735428,379.525028,501.823811,164.704033,6.732604,545.892738,4.000000
8.600000,4819754.644769,485.915072,145.271511,778.797382,383.502941,509.538776,168.480865,6.848683,553.685633,4.000000
8.700000,4819750.956442,477.559375,142.905721,777.642328,387.430860,517.243386,172.296835,6.965053,561.468067,4.000000
8.800000,4819747.260992,469.417041,140.568859,776.277297,391.307159,524.935526,176.151439,7.081687,569.237905,4.000000
8.900000,4819743.559209,461.482019,138.263177,774.709428,395.130296,532.613152,180.044160,7.198559,576.993083,4.000000
9.000000,4819739.851867,453.748427,135.990570,772.945919,398.898817,540.274292,183.974463,7.315644,584.731608,4.000000
9.100000,4819736.139720,446.210547,133.752614,770.994000,402.611356,547.917044,187.941801,7.432918,592.451559,4.000000
9.200000,4819732.423502,438.862820,131.550601,768.860900,406.266630,555.539578,191.945614,7.550355,600.151089,4.000000
9.300000,4819728.703930,431.699843,129.385572,766.553817,409.863441,563.140135,195.985329,7.667934,607.828419,4.000000
9.400000,4819724.981699,424.716367,127.258337,764.079902,413.400676,570.717029,200.060361,7.785630,615.481848,4.000000
9.500000,4819721.257487,417.907289,125.169511,761.446231,416.877301,578.268643,204.170115,7.903422,623.109740,4.000000
9.600000,4819717.531953,411.267655,123.119528,758.659796,420.292366,585.793429,208.313987,8.021287,630.710534,4.000000
9.700000,4819713.805736,404.792646,121.108665,755.727481,423.644996,593.289909,212.491363,8.139205,638.282736,4.000000
9.800000,4819710.079457,398.477587,119.137059,752.656056,426.934395,600.756671,216.701620,8.257154,645.824920,4.000000
9.900000,4819706.353717,392.317931,117.204726,749.452167,430.159840,608.192372,220.944130,8.375116,653.335729,4.000000
10.000000,4819702.629102,386.309266,115.311571,746.122320,433.320683,615.595732,225.218256,8.493071,660.813870,4.000000
10.100000,4819698.906175,380.447304,113.457408,742.672881,436.416343,622.965535,229.523355,8.610999,668.258116,4.000000
10.200000,4819695.185487,374.727881,111.641965,739.110067,439.446312,630.300628,233.858779,8.728883,675.667301,4.000000
10.300000,4819691.467566,369.146953,109.864900,735.439939,442.410143,637.599918,238.223877,8.846705,683.040321,4.000000
10.400000,4819687.752926,363.700593,108.125808,731.668405,445.307456,644.862372,242.617991,8.964448,690.376134,4.000000
10.500000,4819684.042065,358.384989,106.424232,727.801210,448.137934,652.087015,247.040460,9.082096,697.673752,4.000000
10.600000,4819680.335461,353.196438,104.759666,723.843938,450.901316,659.272926,251.490623,9.199632,704.932249,4.000000
10.700000,4819676.633579,348.131343,103.131569,719.802012,453.597401,666.419241,255.967814,9.317041,712.150749,4.000000
10.800000,4819672.936866,343.186214,101.539364,715.680691,456.226043,673.525148,260.471366,9.434308,719.328433,4.000000
10.900000,4819669.245756,338.357662,99.982449,711.485072,458.787147,680.589886,265.000610,9.551419,726.464531,4.000000
11.000000,4819665.560666,333.642394,98.460199,707.220089,461.280671,687.612743,269.554878,9.668360,733.558326,4.000000
11.100000,4819661.881998,329.037218,96.971972,702.890518,463.706621,694.593056,274.133501,9.785117,740.609147,4.000000
11.200000,4819658.210140,324.539030,95.517111,698.500975,466.065050,701.530208,278.735809,9.901677,747.616372,4.000000
11.300000,4819654.545467,320.144818,94.094951,694.055917,468.356054,708.423629,283.361136,10.018028,754.579423,4.000000
11.400000,4819650.888340,315.851660,92.704816,689.559649,470.579773,715.272789,288.008814,10.134158,761.497767,4.000000
11.500000,4819647.239106,311.656718,91.346030,685.016323,472.736389,722.077202,292.678177,10.250054,768.370911,4.000000
11.600000,4819643.598098,307.557234,90.017913,680.429942,474.826120,728.836422,297.368563,10.365707,775.198406,4.000000
11.700000,4819639.965639,303.550536,88.719783,675.804361,476.849223,735.550042,302.079311,10.481105,781.979840,4.000000
11.800000,4819636.342037,299.634027,87.450964,671.143293,478.805989,742.217691,306.809762,10.596237,788.714840,4.000000
11.900000,4819632.727590,295.805185,86.210781,666.450309,480.696743,748.839037,311.559261,10.711094,795.403067,4.000000
12.000000,4819629.122584,292.061564,84.998566,661.728843,482.521841,755.413779,316.327157,10.825666,802.044222,4.000000
12.100000,4819625.527292,288.400788,83.813654,656.982198,484.281669,761.941653,321.112801,10.939944,808.638034,4.000000
12.200000,4819621.941979,284.820553,82.655391,652.213541,485.976643,768.422425,325.915549,11.053919,815.184268,4.000000
12.300000,4819618.366896,281.318619,81.523129,647.425917,487.607203,774.855892,330.734761,11.167582,821.682719,4.000000
12.400000,4819614.802286,277.892814,80.416231,642.622243,489.173816,781.241880,335.569802,11.280926,828.133212,4.000000
