Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
3.800000,60453968.666555,3838.658612,822.251033,2052.682296,533.406062,465.648507,109.946809,36.740127,650.370752,0.000000
3.900000,60453797.275762,3913.164719,836.222886,2094.132075,548.727902,485.136142,115.031914,38.308599,671.102278,0.000000
4.000000,60453622.172961,3989.497602,850.659763,2136.167332,564.312592,505.016101,120.262265,39.911385,692.251171,0.000000
4.100000,60453443.299553,4067.670032,865.561020,2178.822481,580.163513,525.294050,125.640348,41.549004,713.823457,0.000000
4.200000,60453260.594596,4147.696786,880.926401,2222.131213,596.284351,545.975971,131.168682,43.221999,735.825502,0.000000
4.300000,60453073.994824,4229.594571,896.756052,2266.126544,612.679086,567.068165,136.849823,44.930935,758.264005,0.000000
4.400000,60452883.434659,4313.381959,913.050523,2310.840871,629.351987,588.577234,142.686366,46.676400,781.145994,0.000000
4.500000,60452688.846238,4399.079327,929.810777,2356.306025,646.307597,610.510087,148.680946,48.459002,804.478816,0.000000
4.600000,60452490.159417,4486.708799,947.038191,2402.553321,663.550729,632.873928,154.836243,50.279373,828.270136,0.000000
4.700000,60452287.301785,4576.294192,964.734557,2449.613611,681.086457,655.676252,161.154982,52.138164,852.527927,0.000000
4.800000,60452080.198670,4667.860968,982.902083,2497.517335,698.920111,678.924843,167.639939,54.036050,877.260472,0.000000
4.900000,60451868.773146,4761.436188,1001.543394,2546.294567,717.057266,702.627771,174.293940,55.973726,902.476352,0.000000
5.000000,60451652.946032,4857.048469,1020.661527,2595.975069,735.503743,726.793384,181.119866,57.951910,928.184451,0.000000
5.100000,60451432.635895,4954.727950,1040.259927,2646.588332,754.265597,751.430311,188.120650,59.971338,954.393948,0.000000
5.200000,60451207.759044,5054.506252,1060.342450,2698.163624,773.349115,776.547456,195.299288,62.032771,981.114315,0.000000
5.300000,60450978.229525,5156.416452,1080.913352,2750.730036,792.760815,802.153998,202.658833,64.136989,1008.355317,0.000000
5.400000,60450743.959116,5260.493052,1101.977290,2804.316524,812.507434,828.259388,210.202400,66.284795,1036.127009,0.000000
5.500000,60450504.857312,5366.771954,1123.539315,2858.951952,832.595934,854.873349,217.933171,68.477012,1064.439733,0.000000
5.600000,60450260.831315,5475.290441,1145.604868,2914.665130,853.033492,882.005876,225.854393,70.714485,1093.304123,0.000000
5.700000,60450011.786019,5586.087153,1168.179776,2971.484855,873.827502,909.667232,233.969380,72.998082,1122.731098,0.000000
5.800000,60449757.623993,5699.202075,1191.270247,3029.439952,894.985570,937.867954,242.281519,75.328690,1152.731866,0.000000
5.900000,60449498.245459,5814.676521,1214.882866,3088.559306,916.515512,966.618849,250.794268,77.707220,1183.317924,0.000000
6.000000,60449233.548272,5932.553120,1239.024590,3148.871901,938.425357,995.930995,259.511159,80.134606,1214.501058,0.000000
6.100000,60448963.427900,6052.875814,1263.702743,3210.406855,960.723342,1025.815744,268.435803,82.611801,1246.293345,0.000000
6.200000,60448687.777390,6175.689842,1288.925014,3273.193450,983.417911,1056.284723,277.571886,85.139784,1278.707152,0.000000
6.300000,60448406.487349,6301.041744,1314.699453,3337.261171,1006.517719,1087.349833,286.923177,87.719554,1311.755142,0.000000
6.400000,60448119.445907,6428.979351,1341.034466,3402.639731,1030.031628,1119.023256,296.493526,90.352135,1345.450273,0.000000
6.500000,60447826.538692,6559.551789,1367.938813,3469.359105,1053.968708,1151.317453,306.286867,93.038574,1379.805801,0.000000
6.600000,60447527.648791,6692.809478,1395.421604,3537.449558,1078.338240,1184.245168,316.307222,95.779940,1414.835285,0.000000
6.700000,60447222.656718,6828.804137,1423.492298,3606.941677,1103.149713,1217.819430,326.558700,98.577327,1450.552585,0.000000
6.800000,60446911.440374,6967.588785,1452.160700,3677.866396,1128.412832,1252.053560,337.045499,101.431855,1486.971873,0.000000
6.900000,60446593.875013,7109.217751,1481.436958,3750.255023,1154.137510,1286.961170,347.771911,104.344665,1524.107628,0.000000
7.000000,60446269.833195,7253.746679,1511.331566,3824.139269,1180.333878,1322.556167,358.742322,107.316925,1561.974645,0.000000
7.100000,60445939.184748,7401.232542,1541.855355,3899.551274,1207.012282,1358.852758,369.961213,110.349828,1600.588041,0.000000
7.200000,60445601.796722,7551.733646,1573.019500,3976.523627,1234.183290,1395.865458,381.433165,113.444593,1639.963253,0.000000
7.300000,60445257.533343,7705.309649,1604.835513,4055.089399,1261.857688,1433.609085,393.162858,116.602464,1680.116048,0.000000
7.400000,60444906.255968,7862.021570,1637.315250,4135.282160,1290.046488,1472.098775,405.155076,119.824714,1721.062526,0.000000
7.500000,60444547.823032,8021.931806,1670.470904,4217.136006,1318.760929,1511.349979,417.414705,123.112639,1762.819126,0.000000
7.600000,60444182.089999,8185.104149,1704.315010,4300.685584,1348.012480,1551.378471,429.946740,126.467567,1805.402629,0.000000
7.700000,60443808.909310,8351.603801,1738.860445,4385.966111,1377.812843,1592.200356,442.756284,129.890849,1848.830166,0.000000
7.800000,60443428.130329,8521.497394,1774.120429,4473.013399,1408.173957,1633.832071,455.848551,133.383869,1893.119224,0.000000
7.900000,60443039.599285,8694.853011,1810.108527,4561.863877,1439.108003,1676.290391,469.228869,136.948038,1938.287650,0.000000
8.000000,60442643.159216,8871.740206,1846.838649,4652.554611,1470.627404,1719.592440,482.902680,140.584795,1984.353659,0.000000
8.100000,60442238.649912,9052.230023,1884.325056,4745.123330,1502.744833,1763.755689,496.875547,144.295611,2031.335840,0.000000
8.200000,60441825.907851,9236.395024,1922.582359,4839.608443,1535.473215,1808.797972,511.153150,148.081986,2079.253161,0.000000
8.300000,60441404.766138,9424.309310,1961.625525,4936.049065,1568.825733,1854.737482,525.741293,151.945454,2128.124981,0.000000
8.400000,60440975.054443,9616.048547,2001.469876,5034.485034,1602.815831,1901.592787,540.645906,155.887576,2177.971050,0.000000
8.500000,60440536.598931,9811.689993,2042.131097,5134.956934,1637.457219,1949.382832,555.873046,159.909950,2228.811523,0.000000
8.600000,60440089.222200,10011.312521,2083.625238,5237.506116,1672.763878,1998.126945,571.428899,164.014203,2280.666962,0.000000
8.700000,60439632.743209,10214.996654,2125.968716,5342.174722,1708.750067,2047.844848,587.319785,168.201998,2333.558349,0.000000
8.800000,60439166.977207,10422.824588,2169.178325,5449.005700,1745.430324,2098.556665,603.552160,172.475031,2387.507090,0.000000
8.900000,60438691.735664,10634.880223,2213.271234,5558.042831,1782.819476,2150.282923,620.132615,176.835034,2442.535024,0.000000
